Pilar_Competitividad,Indicador,Año,Valor,Unidad,Ranking_Nacional_2025,Fuente
Perfil General,Población Total,2025,481938,Habitantes,N/A,IDC 2025 / DANE
Perfil General,Superficie,2024,44640,km²,N/A,Gobernación de Casanare
Perfil General,PIB Departamental,2023,23082000,COP Millones,N/A,IDC 2025 / DANE
Perfil General,PIB per cápita,2023,49344971,COP,N/A,IDC 2025 / DANE
Perfil General,Puntaje General IDC,2025,05.01,Puntaje /10,17,IDC 2025
Infraestructura,Costo de la energía eléctrica,2025,10,Puntaje /10,1,IDC 2025 / Superservicios
Infraestructura,Cobertura efectiva de gas natural y GLP,2025,5.8,Puntaje /10,24,IDC 2025
Infraestructura,Porcentaje de vías primarias en buen estado,2025,7,Puntaje /10,20,IDC 2025 / INVIAS
Mercado Laboral,Tasa Global de Participación,2025,7.87,Puntaje /10,3,IDC 2025 / DANE
Mercado Laboral,Tasa de Ocupación (Región Orinoquía),2023,60.8,%,N/A,DANE (GEIH II Sem 2023)
Capital Humano,Pilar Educación Básica y Media,2025,7.65,Puntaje /10,6,IDC 2025
Capital Humano,Cobertura neta en educación media,2025,7.68,Puntaje /10,13,IDC 2025 / MEN
Clima y Potencial Agroindustrial,Horas de Sol Promedio,2024,5,kWh/m²/día (promedio),N/A,IDEAM (Estimado regional)
Clima y Potencial Agroindustrial,Frontera Agrícola,2023,3497136,Hectáreas,N/A,UPRA
Clima y Potencial Agroindustrial,Inventario Ganadero Bovino,2025,2384724,Cabezas (estimado),4,ICA / FEDEGAN
Entorno para Negocios,Facilitación de trámites,2025,7.13,Puntaje /10,4,IDC 2025 / Confecámaras
Entorno para Negocios,Pilar Entorno para los Negocios,2025,06.07,Puntaje /10,9,IDC 2025